Ras,Agama,Netral
dck,antimuslim,kepala
negro,populasi,hotak
ekkk,buddha,la
habis,besar,pakai
habis,dunia,sentimen
main,tuan,agama
size,rumah,bodo
benda,usak,berani
alah,bamiyan,suh
tuuuu,buddha,la
km,cari,laki
jelek,aman,kau
kayak,investasi,bukak
babi,aqidah,ig
dasar,amp,la
negro,pikir,sial
httpstcodmexrqitea,agama,nak
jelek,bahaiyah,private
banget,bukanislam,bod
anjing,waspada,httpstcojzpomyqj
negro,hatihati,silaturahmi
babi,httpstcoxdrokt,ketua
anjg,this,anggota
monyet,agama,sekretaris
full,pandai,kpu
negro,konon,kab
baukk,dengar,sukamara
hahaha,cakap,wakil
lucu,ustaz,tokoh
orang,bab,agama
monyet,nak,hindu
negara,dengar,tokoh
jelasjelas,cakap,agama
papua,ahli,kat
udah,gpp,httpstcohvcykkcb
merdeka,wajar,bangsa
bawah,katolik,barat
naung,sampe,belenggu
nkri,jual,belakang
bro,sakramen,mundur
dasar,aku,fase
papua,dosa,dark
jelek,masa,ages
kokcuma,ramai,agama
kaya,tunggang,httpstconlhppqhm
monyet,agama,menteri
hahaha,peras,agama
gabutnya,tu,selamat
jelek,bagus,suci
banget,im,umat
ya,sick,bahai
bangsat,of,saat
gemes,it,setan
pen,zaman,raung
cubit,wkwkwk,raung
alis,agama,k
kek,nenek,httpstcouzllukrt
sok,moyang,yakin
cantik,agama,ibadat
aja,sah,ruang
orangorang,contoh,pd
dayak,islam,kelompok
pada,bener,anut
iyuhhh,contoh,agama
sumpah,kristen,beda
kek,benerduanya,paham
gaada,sesat,bh
ide,yahudi,httpstconuhrlyll
astaga,mancampur,gamau
jelek,adukkanhny,papua
banget,mem,merdeka
suka,httpstcorstwodeb,indo
niruniru,kabah,ras
kaum,islam,aja
monyett,anjing,orang
mampus,edan,papua
lo,islam,gausah
jelekanak,agama,senyum
babi,salah,kau
hahaha,httpstcoikpmdzfui,depan
ngaca,belle,ku
orang,contoh,kntl
papua,tunggang,jelek
allahu,wanita,kau
akbar,hahaha,babi
jelek,yeh,httpstcooggzvg
bener,kafir,ya
kamuharusnya,haram,kelas
ngaca,khor,nakal
baju,hey,seru
compang,shakal,banget
camping,de,kelas
kaya,dekho,plg
orang,zara,nakal
dayak,kitna,cap
allahu,kameena,jelek
akbar,lagta,ama
jelek,yeh,guru
bener,banda,rendah
gin,sumbang,nilai
kalu,pas,ba
darah,negara,httpstcohrpktifr
papua,wujud,fak
monyet,ramai,doa
isi,tunggang,jelek
nya,agama,adzan
stres,negeri,mon
emosi,pas,maap
doang,meri,nder
jelek,httpstcoxyyeueyik,tpi
banget,jls,gue
emang,ya,ngakak
gitu,sender,anjay
ngomong,trs,ngebayangin
orang,aja,bocah
batak,adu,potong
sabar,domba,kek
darah,inget,draken
sebenernya,ya,kemarenn
bikin,apa,good
bagus,agama,choice
muka,ya,gausah
dazai,tetep,diplajarin
coba,aja,emng
kalo,hukum,klo
dazai,neraka,g
jelek,httpstcoodiaolz,bnr
jelek,agama,menguasain
jg,gua,dah
wkoskekekek,agama,prnh
jelek,sesat,gua
anjing,bos,sakit
kayak,agama,ati
babi,lo,anjer
hidung,agama,blajar
emang,sesat,kali
gitu,mana,nilai
ya,anak,tetep
orang,kafir,jelek
dayak,cuman,percaya
gausah,ngelike,lahtrs
senyum,aja,menteri
kau,wooooo,tahan
depan,trus,gmn
ku,hijab,ya
kntl,dibully,kadrun
jelek,persekusi,beda
kau,apa,tipis
babi,damaimemberdayakan,iblis
httpstcooggzvg,dasar,isis
jawab,kafir,emang
kalo,halal,teroris
asumsi,darah,kaya
mbak,memp,kkk
orang,httpstcoxxkqlhc,white
papua,gaduh,supremacy
injak,hei,orang
httpstcondxmxlbld,bapok,kristen
nahhh,tua,jajah
gitu,sampuk,kolonial
joo,isu,kristen
sabar,nak,is
kalo,salak,httpstcoqqcesedl
pede,ko,rambut
netting,kafir,gue
angkat,sibuk,kalo
aja,masuk,keriting
jan,islam,lucu
nanggung,me,banget
defence,httpstcoefxivllk,beneran
mu,jelek,vee
jelek,islam,punya
tu,mulu,udah
orang,agama,jelek
cina,islam,banget
sok,etis,sampe
cantik,ka,ngecap
anjing,httpstcochiawrtfrx,bentuk
emang,tunggang,pcnya
cina,agama,kaya
sumber,tunggang,tuh
sakit,tingu,sbnrnya
sok,masuk,gada
cantik,syurga,tipe
kau,ka,banget
babi,tida,cm
dasar,kafir,knp
turun,mah,mikir
sakit,emang,lebi
kau,sjwnya,cocok
cina,opm,ama
anying,gue,cewek
ngakak,bilang,dewasa
jelek,sobat,jd
aja,kafir,tobio
bangga,kafir,gk
dasar,kafir,httpstconprjkhtpwk
negro,qadyani,ujung
tumben,kafir,salah
media,banned,perintah
kadrun,je,munafik
ngabarin,laa,bantu
berita,jenama,ngamok
jelek,bella,gilir
kadrun,ammara,mensos
hoax,appecut,kunjung
kagak,drpd,marah
politik,dlu,nang
kelas,tgk,sampe
kampung,mmg,jelek
malu,jenis,ngebayangin
caleg,tunggang,skenario
aja,agama,sedih
ras,kalini,kek
rendah,terang,mv
sama,httpstcogphbhirf,mv
anak,ajar,gt
bangsa,agama,serius
dah,br,negara
semena,kemarin,mu
sama,sj,agama
in,sok,percaya
httpstcoakqwyyrq,sucikemunafikan,suku
hitam,bersih,bangsa
brrti,darah,manusia
tni,httpstcoyudfkdiz,hukum
wkw,benci,jahat
kalo,fpi,p
maksain,pki,httpstcoprrkjduwp
tanah,kaum,bodo
bornesi,munafikun,gue
kaum,laki,biased
rasisalamat,bini,bright
hilang,tunggang,benerbener
biji,agama,orang
pelernya,play,liat
untung,victim,jelek
cinta,hahahahah,samsek
buta,sial,gue
coba,tunggang,tgk
kalo,agama,video
ngelihat,nama,parlimen
orang,maha,kagum
jelek,suci,gila
ngga,allah,pandai
laku,nak,ckp
ngakak,tutup,bm
tradisi,bongkak,melayu
lindung,angkuh,cina
suku,kau,amp
dayak,tu,india
ancam,httpstcofuknzqghl,i
tradisi,ikut,mean
blh,yahya,pelat
sembarang,waloni,amp
hrs,tolong,smoo
ikut,racun,httpstcogjynwc
adat,radikalisme,maaf
jelek,udah,bangettt
lu,kayak,yaallah
httpstcoewewz,gin,rendah
kaum,ad,kurang
halu,httpstcoxvnryock,hormat
nihil,mahal,mana
jejak,nyooo,jersey
adab,nak,indonesia
tanggap,makan,jelek
tentang,harga,banget
tentang,yahudi,httpstcomqyppehhgb
buday,basherrl,maaf
httpstcockyayjc,heh,g
ubah,kontol,duta
dekat,jan,yahudi
operasi,sok,wasap
tnipolri,mes,soleh
papua,lu,ngaji
apresiasi,rp,paham
httpstcocdmvelebn,muka,agama
nusantara,kek,ngga
indonesia,memek,setengahsetengah
raya,orang,tanggung
kabur,tua,lindung
lo,lu,keluarga
goblok,kek,httpstcoybrfjkmut
log,monyet,httpstcoernmftb
out,agama,contoh
akun,lu,tulis
bikin,aje,sesuai
dosa,agama,yaa
jariyah,kontol,mar
lo,kafir,simak
putus,hai,sambut
akar,tu,menteri
lo,kpop,agama
mampus,k,ri
mampus,nya,gus
l,kafir,raya
httpstcofsoflvoer,jahat,bahai
malam,setan,httpstcogzjyssyw
mimpi,wallahi,sumpa
gue,gaksanggup,nyesel
jelek,haram,liat
banget,menag,muka
yahh,ucap,gua
jelek,tahniah,karna
laku,bahai,jujur
mntan,dasar,gua
sih,bahai,jelek
jelek,islam,sedih
miskin,tinggal,stress
udah,tunggu,peluk
kristen,aja,cuman
cantikpinterjago,ucap,agama
nuyanyicino,tah,bilang
jawa,httpstcoszwuytzt,sesat
jago,owner,putus
masakkaya,bella,negara
udah,ammara,hti
httpstcoocieygamq,sampah,fpi
tindak,definisi,organisasi
kader,tunggang,ilegal
ras,agama,alias
menciderai,bleh,aku
kebhenekaan,tgk,negara
negara,kt,httpstconsvwtxgc
laku,la,emmmm
tum,oh,ya
psi,aceh,allah
mmg,agama,uji
jijik,buat,allah
rendah,tolol,ya
harkat,tinggal,kopi
martabat,agama,jahe
manusia,gua,golong
tradisi,tuhan,istimewa
lindung,bajar,saji
suku,manusi,acaraacara
dayak,httpstcorvxyxyxje,pesta
ancam,kaga,nikah
tradisi,rugi,k
blh,keilangan,httpstcodazvmxe
sembarang,orang,apa
hrs,islam,keadaanya
ikut,ngerti,lupa
adat,agama,syukur
suka,islam,btw
sebel,pura,pake
koreaboo,islam,rinso
glorifikasi,kacau,moto
korea,nih,ikut
bandingin,orangpancasila,this
indonesia,sejati,is
negera,mngistimewakn,my
plus,agama,nightmare
minus,wajib,kuliah
httpstcotpdchsoxmj,tuhan,mata
sopan,ideologi,kuliah
banget,inianda,sks
turun,httpstcokrhfrehr,sejarah
cina,asli,asia
skip,telat,timur
orang,banget,nang
jelek,dasar,aja
cina,agama,kelar
bahan,teroris,kelas
main,orang,httpstcouhihhjhhz
kalimantan,munafik,salah
omong,ingat,ketik
kosong,lengah,ya
sono,jaga,ahok
jelek,suci,kemarin
ngaca,hati,sengaja
dua,akhlak,semangat
trs,pegang,bela
blg,tegu,negara
liat,httpstcoawfnmfoili,latih
tuh,emang,jiwa
jelek,islam,leadership
banget,teroris,pimpin
anak,dasar,kelompok
bauu,kamum,bentuk
woi,munafik,iman
warga,kaum,httpstcoedgyqwbj
kalimantan,kadrun,sidang
tinggal,sok,ite
kumuh,islamimereka,mantan
kaya,kaum,jubir
jkt,munafik,fpi
polusi,re,aceh
kaya,httpstcoerdwkfqu,tunda
jkt,kabah,agustus
httpstcodextcwmsc,islam,httpstcowkvsfcyz
data,anjing,httpstcocxzkfnvq
tentang,edan,son
kuasa,islam,dakika
mending,agama,fanatik
kupas,salah,yahudilerden
tragedi,httpstcoikpmdzfui,mescidi
bantai,mending,aksaya
etnis,bajing,baskn
china,munafik,httpstcomvxqcbnc
seka,emang,jujur
httpstcoeammwggse,dasar,aja
bs,agama,gua
beda,teroris,gtw
nyinyir,rr,tulis
kritik,manusia,gua
nyinyir,munafik,jelek
dr,dasar,gua
partai,kafir,males
receh,lo,nulis
rendah,at,orgnya
gin,taubah,wkwk
lulus,jadi,mebteri
amrik,rahib,agama
httpstcoykljegrqgu,tuhan,no
udah,allah,httpstcoevtrsoma
miskin,oceh,god
jelek,muhammad,sent
kisah,biadab,me
cinta,tebar,to
buruk,fitnah,help
tanah,benci,you
arab,httpstcoqxcbyn,lelaki
suku,gus,kirim
damai,mus,tuhan
indonesia,sadar,tunggu
dg,quran,la
suku,kitab,kau
bangsa,suci,tua
menja,muhammad,what
httpstcobgoyrpzc,nabi,goes
ganteng,allah,around
pilih,swt,comes
jelek,tuhan,aro
filter,azan,httpstcokmtcshgtr
og,hoax,fkaphi
mikir,httpstcosfdugbgzg,salur
belanda,profesor,bantu
adil,doktor,serang
lawong,islam,tempat
indonesia,hirup,halaman
bayar,hoax,masjid
ganti,quran,kantor
rugi,kitab,wilayah
belanda,suci,menteri
br,muhammad,agama
lunas,nabi,provin
hedeh,allah,httpstcohfngjucpf
httpstcosuauybb,swt,paham
muka,tuhan,gue
jelek,muntah,kagak
perilaku,hoax,nonton
jelek,httpstcoqbszucfj,sinetron
jg,syukur,indonesia
hadeehhh,allah,jelek
kasiann,swt,drakor
rambut,dungu,jarang
nya,biadab,nonton
pink,manusia,variety
preman,rusak,show
jelek,salah,kaga
banget,alamat,httpstcontvlupsxm
udah,datang,ngedeketin
durhaka,mui,beda
rambut,nu,agama
pink,muhammadiyah,jadi
preman,icmi,putus
wkwk,marah,beda
jelek,nang,agama
terus,solusi,semesta
jahat,buang,naro
manusia,islam,list
pesta,httpstcojxexwrgbon,tugas
malu,lafaz,lgi
tiongkok,allah,dah
malu,swt,matematika
mew,berhala,ekonomi
httpstcoaymylv,islam,sosiologi
ya,pemkab,agama
cewek,muhammad,pkn
gua,orang,basing
ama,mulia,wahh
gwgw,manusia,bnyakk
jelek,biadab,yaa
njir,httpstcojulxboin,tugas
httpstcohkuqbwvrp,ahlak,lu
sunda,muhammad,na
suku,biadab,ya
kamitapi,bantai,allah
kalo,yahudi,jelek
lo,teladan,imageku
tau,teroris,mata
sunda,melihara,member
ageman,istri,funny
pegang,teladan,milik
hidup,poligami,kasih
httpstcolxnjorf,dungu,wajah
kampung,sampah,otomatis
ci,kitab,jelek
bangsat,tuhan,tampan
bilang,yassss,kasih
bacot,salah,httpstcougndfsprsj
lo,petik,renaisans
jelek,agama,alih
si,sikit,pandang
lo,ok,masyarakat
mak,laa,eropa
gue,play,bangsa
suka,victim,barat
gue,la,dominasi
idup,tunggang,httpstcoyxrgjjes
gua,laa,otak
komentar,selagi,gue
tros,tunggang,jelek
renjun,hahahaharrei,bangettt
rambut,tpi,dah
pendek,aku,halo
liat,negara,need
mungil,agama,joki
udah,agama,tugas
jelek,bahai,jasa
sok,sok,ketik
cantik,kuat,wordppt
matre,klarifikasi,jasa
sok,muhammad,tulis
kaya,orang,review
pamerpamer,mulia,jurnal
social,manusia,artikel
network,biadab,makalah
pacar,bukti,essay
alay,manusia,hubung
kali,biadab,inter
ya,lempar,httpstcortdjgzx
ya,batu,liat
ganteng,monas,make
banget,httpstcovlcsutbx,up
liat,ungkap,nikah
kayak,ruang,temen
orang,publik,jelek
cina,quran,doi
tt,kitab,make
bagus,suci,up
gemuk,muhammad,cantik
lu,nabi,cantik
bang,allah,aja
pas,swt,besok
sma,tuhan,kudu
lucu,pidana,nge
njir,tipu,mc
akwowkw,httpstcoiykgpkw,balikin
jelek,quran,mood
banget,kitab,nya
lydia,sampah,gimana
danira,muhammad,ini
gua,bejad,tar
lgi,allah,gara
makan,swt,mood
pir,dungu,gue
keselek,biadab,jelek
ras,httpstcomnsndqla,ruin
hina,quran,acara
suku,kitab,besok
dayak,sampah,agama
sama,muhammad,aku
dng,bejad,undang
jin,allah,resmi
d,swt,indonesia
gendurwo,dungu,httpstcosnmlfv
kt,biadab,gabisa
monyet,httpstcomnsndqla,satu
j,gm,halang
httpstcojpimgycniv,larang,puja
udah,kristen,pindah
jelek,pimpin,agama
selingkuh,adil,stranger
bisa,isi,bantu
gua,quran,commis
susah,oceh,inazuma
move,muhammad,musuh
on,biadab,mati
jung,energi,angin
jaehyun,bangsa,jaring
ganteng,selamat,jelek
jaffrian,httpstcogbrexezb,httpstcowjngtcha
jelek,bukti,jujur
yeeaayyyy,hrus,ya
httpstcodktpzxuh,percaya,jujur
hahahhaa,salah,banget
iya,percaya,nih
yah,salah,ken
kalo,percaya,jodoh
nyokap,quran,taat
gua,salah,agama
badan,muslim,tanggung
banget,ilmuwan,sayang
gua,sejati,keluarga
beda,bantah,httpstcohpmvljadfv
gua,scara,new
kyk,ilmiah,post
anak,quran,in
cina,kitab,lawanhoaks
putih,sampah,salah
nyari,muhammad,gambar
pawangnga,bejad,artikel
sih,allah,kompas
mau,swt,judul
ras,dungu,hemoglobin
coklat,biadab,rendah
suku,httpstcovrpqmbgv,butuh
kebal,lengkap,tranfusi
trash,ribu,darah
talk,agama,karl
salah,lag,httpstcoxakzrnsmcq
jelek,httpstcophsoncibne,gausah
salah,kek,netting
orang,mah,kalo
tua,nggak,males
jelek,agama,jelek
turun,bumi,nang
haha,solihah,jelek
gokil,cerdas,ya
miskin,pintar,aku
hak,ali,hak
istimewa,allah,dasar
anjing,agama,warga
dah,usia,n
lu,buah,httpstcogtynpoojf
tukar,hati,mutualan
posisi,masyaallah,ama
orang,tabarakallah,tolong
miskin,httpstcopnqpwccis,rnb
berani,mayoritas,akun
kagak,agama,jelek
t,islam,mood
httpstcollggtfri,ngikutin,ku
gua,atur,jelek
kalo,agama,sih
dipakein,islam,lagia
gin,kalo,kesanakesini
jelek,didik,gua
udah,agama,apaapa
bersin,tanam,gua
level,ngomong,disensiin
kaum,tmp,hadeh
kampung,duli,perkara
u,asa,ganti
udah,sa,lcd
pake,httpstcovxilxeguod,aja
filter,benci,disensiin
aja,fpi,mulu
jelek,keras,liat
sok,kasar,aja
iye,fpinya,dah
lu,sdh,puny
anak,ubah,httpstcodjkutj
curut,nolongin,gua
eren,um,ngerekam
jelek,httpstcogpeicaphu,suara
banget,awak,gue
gaperna,agama,jelek
mandi,if,anjing
anjing,awak,bisabisanya
jelek,agama,temen
cok,samawi,gue
kuning,ajar,nyeletuk
gitu,utk,tim
ngape,httpstcodpzepuivo,record
cok,kendala,dapat
disakitin,kafir,habib
cowok,a,anggota
jelek,httpstcohvmniubi,fpi
sakit,cakap,gmncuma
ampun,jela,nanya
pooh,nk,sayang
jelek,dpt,suju
sekaliii,poca,gas
babi,astu,gue
hutan,jual,bahagia
ansel,harga,kalo
gemas,yahudi,bahas
main,kaum,agama
bulubulu,korang,emang
pipi,tu,berat
pooh,hindu,menteri
ayo,sekte,agama
makan,melar,kacau
jelek,httpstcocmtoyxsadb,httpstcojcaxxaurfg
bi,organisasi,mas
httpstcoaemezazei,sampah,lucu
rambut,takhayul,banget
orang,busuk,si
papua,jijik,bi
curi,ansor,httpstcorzdpclebce
muka,serta,tunggang
jelek,bansernya,selagi
hati,dasar,simak
jelek,agama,anak
ya,y,menang
rmbt,httpstcotzkwxvqba,liat
tae,wkwkwkk,abangg
keriting,ikat,eh
sumpah,christian,sumpah
bagus,komunitas,sound
banget,jewish,anak
httpstcobrsgwjaj,kenceng,zepeto
sih,sih,tiktok
jelek,muka,mood
dayak,agama,ku
istiy,jual,jelek
ikn,ayat,banget
tanah,httpstcooobdhg,grgrgrgrggr
dayak,bahasa,jelek
tanah,pks,banget
jakarta,ambo,singkat
brojdi,dengar,twitter
saudara,bodoh,ras
tanah,pemabok,kepoper
dayak,agama,to
puny,fpi,empat
httpstcolezlrhlrt,bubar,jujur
jamet,hrs,jelekjeleknya
bacot,tahan,dah
ramah,warga,wkwk
halhal,sipil,dlu
lucu,anggota,gue
halhal,fpi,jg
keren,bantai,pas
halhal,teriak,smp
seksi,oknum,buku
halhal,pesantren,bayar
jelek,salah,mahal
halhal,httpstcoqzdgkovgj,sma
tampan,agama,dipinjemin
ya,agama,buku
suka,asia,jelek
httpstcoowhilixiva,timur,btw
jelek,ta,gue
banget,httpstcokymesl,jg
anying,partai,ken
ken,jual,kayak
wakwaw,agama,rindousanzu
udah,norak,wkw
kayak,loe,sebel
jerapah,undang,liat
mang,qori,binder
kabau,qoriah,rd
arab,qosidah,gen
anjing,kelompok,mas
mata,seni,keriting
panda,agama,aja
jelek,ganti,sleevenya
asu,cek,jelek
bego,sound,banget
prik,confused,niat
jelek,yahudi,si
banget,melayu,jojo
si,ria,dah
ipin,tunggu,tumben
ahahahaahok,dajjal,banget
daunmereka,dah,main
nyunsepkalau,bilang,jelek
protesprotes,jabat,shshshsh
aja,kkn,jarang
dewan,berita,sekali
adat,agama,cerita
dayak,abai,eh
kaltim,muak,responnya
kal,liat,jelek
httpstcomlqyctrhc,laku,asuuuu
orang,bandit,jelek
papua,agama,banget
merdeka,kaya,jaring
karna,lohtifpiwahabi,smartfren
faktor,orang,gws
sda,nabi,harper
bangun,emang,lmk
infrastruktur,diajarin,gaes
pebdidikan,akhlak,nyoba
rendah,bai,bikin
bandin,httpstcoaoavuyca,au
httpstcodwifcccuu,organisasi,one
tuuhkan,sampah,tweet
sangkut,takhayul,kemarin
ras,busuk,maaf
denideni,jijik,banget
kpn,ansor,kalo
ditangkep,serta,jelek
orang,bansernya,first
dear,berdasarka,timer
lu,httpstcounuwvoypte,sih
jelek,kne,anjing
perempuan,paham,wkwkwkwkwkwkwkwk
lu,kt,jaring
hina,msia,jelek
lakilak,agama,banget
httpstcoewioabtc,islam,net
wkwkwkw,berbeza,jjo
pake,utk,jelek
filter,orang,bngt
ae,brkuasa,net
cantik,dn,forehand
situ,kaya,gue
pake,mcm,nang
filter,najib,banget
tetep,berbeza,pas
jelek,jga,masuk
ehhh,utk,sma
aduh,rencana,ketndang
maap,kafir,rt
dwi,si,prioritas
mustika,bangke,ft
bunga,laku,anak
proyek,otak,guru
dwi,sungsang,nilai
mustika,otak,gue
cantik,ya,jelek
yaiyalah,kadal,jelek
cantik,gurun,semangat
emang,isi,pm
hati,otak,kasi
lo,nguap,jga
jelek,saking,jdi
httpstcosqtpqvap,panas,korban
nder,inget,video
juelek,lho,parsial
even,nabi,nomor
filter,ngajarin,salah
cant,bijaksana,tulis
help,akhlak,gua
u,mulia,jelek
iya,agama,karna
jelek,httpstcogmfmyjzc,gua
najissss,surau,malessssssss
httpstcokopugkqr,y,karna
salah,elok,pinter
jawa,kau,judul
babi,solat,udah
orang,jugak,ganti
jawa,kat,isi
singgung,tepi,artikel
klu,jalan,aja
loe,tu,jelek
bawa,ilah,banget
suku,baik,lmao
utk,solat,bleh
urus,kau,nilai
goblok,sol,gue
httpstcomichnapfz,httpstcoijljidrpl,jelek
kating,celaka,biologi
jelek,dusta,humor
updateee,agama,jelek
kepoooo,lindung,banget
temen,dusta,sumpah
deket,amanah,mending
aja,madam,buku
ngatain,cahaya,jelek
fisik,allah,dipinjemin
lol,agama,bayar
cape,mulut,resolusi
banget,ucapanucapan,layar
manusia,allah,jelek
jelek,m,gimana
bumi,httpstcogvmbmpfl,ya
haru,gga,mirip
banget,fikir,gue
sih,kribo,kelas
anak,klo,sd
temen,kluar,lompat
jelek,islam,jauh
gizi,aja,bagus
pas,kerja,guru
uda,jelek,gue
httpstcotwswawmha,jelekin,trs
depan,islam,gede
baikbaik,trus,jelek
belakang,kasihan,temen
kaya,jebak,gue
tau,bd,lomba
jelekjelekinnya,agama,awas
orang,siklus,aja
kaya,bhw,ngetwist
lo,degradasi,km
sampah,ajar,jelek
males,agama,jelek
banget,ulama,pas
ngaca,nahyang,malem
eneg,kemaren,tidur
ngelit,gerombol,pas
muka,nendang,begadang
jelek,sajenhtifpi,sinyal
iyo,wahabituh,gue
mokasih,tantang,jelek
adik,perang,bangett
adik,indiaberani,untung
hitam,lo,banget
dikit,agama,cinta
kulit,laku,buta
nya,radikalisme,anda
nurut,orang,ngeliat
mamah,wawas,orang
kalo,sempit,jelek
nurut,seru,laku
papa,haul,wifinya
putih,anggota,jelek
httpstcopmpvbzryqd,laskar,banget
orang,fpi,kalo
kaya,korban,njingg
apaaan,bunuh,sorry
tibatibaa,km,typo
gapapa,gema,maksud
jelek,refly,ngeles
sombong,harun,jelekkin
lahir,syuhada,leewang
miskin,httpstcogdanawrv,pikir
privilege,pake,lu
sih,fatwa,aja
mersinescort,negara,jelek
kulit,aja,duo
hitam,sih,kuda
aja,agama,httpstcogtdwhnpboj
bangga,islam,bagus
ttd,lintas,kak
buku,geografis,makasii
narasi,suku,coverin
beda,ras,my
bikin,duit,universe
malu,ngga,munafik
orang,bat,sih
papua,httpstcofryutocjdj,cantik
deh,garagara,tuhan
mah,raja,rupa
ngga,bomoh,berbe
pantes,mat,httpstcocizarox
make,salleh,jaring
jelek,kafir,jelek
iya,hina,banget
oke,kalimah,anjing
si,allah,aja
abang,httpstcofsugbzv,nontonnya
gue,pribadi,anying
tega,pro,wifinya
bodi,lgbt,jelek
syeminggg,paham,wkakwkakwoakwoakakwkakw
gue,gimana,jilat
dikatain,status,artis
uda,lgbt,gin
sndiri,pandang,bang
pendek,ag,hi
sndiri,httpstcovfpfheikd,nder
pali,basherrl,iya
httpstcoivyhzii,heh,jelek
negro,kontol,banget
mentira,jan,kemaren
ajakajs,sok,sampe
rojo,mes,gua
heran,lu,thank
klo,rp,you
cowok,muka,ya
selingkuh,kek,nder
selingkuh,memek,lo
nya,orang,be
jelek,tua,httpstcocpyuliw
kek,lu,agreed
muka,kek,harap
babi,monyet,aku
cantik,agama,laku
follower,lu,perkara
hahahah,aje,tu
jelek,agama,henti
aja,kontol,keliru
followernya,bidah,ajar
lbh,bahasa,sekolah
baca,mengadakanmembuat,orang
bio,klo,prasangka
cp,agama,burukitu
bio,menciptakanmengadakan,karang
muka,ba,agama
jelek,httpstcodofdwiwbr,fadliberprasangka
laku,nih,la
jelek,gada,paul
perfect,alokasi,pogba
banget,amal,masuk
lo,agama,islam
image,ya,pikir
cute,solidaritas,identitas
ilang,sedekah,kadangkadang
garagara,bantu,hid
jelek,kadrun,httpstcopvtnddektm
lu,mcm,agama
jelek,dayak,psti
ketemu,kalimantan,tuhan
orang,bumi,e
emang,borneo,httpstcoexnuzaeb
bener,berantas,calon
yah,kadrun,menteri
kalo,iblis,agama
orang,topeng,partai
jelek,agama,ummat
tuh,manusia,senin
deketin,pesona,oktober
httpstcoqoqotofkh,geser,apel
beda,sentimen,pagi
colok,agama,pimpin
jendral,nih,wakil
badan,anyinggg,ketua
gede,agama,adil
dg,multi,agama
dhe,mohon,luwuk
jokowi,jelek,nurmaidah
tukang,pura,shi
kayu,pura,mh
badan,galiat,httpstcokikjacdnkn
k,aja,agama
httpstcoicmuromq,yaa,konten
jatuh,mengatasnamakan,becandaan
cinta,agama,sinting
orang,lindung,lu
jelek,tindak,mood
bilang,jahat,gue
cakep,si,knp
sebenre,httpstcohkovglys,jelek
nyumpel,tahu,trs
congore,orang,dah
kadrun,dusta,wifi
orang,agama,jelek
suku,orang,ngelag
dayak,hardik,mulu
kalimantan,anak,sebentar
polisi,yatim,sinyal
mah,dorong,jelek
gk,memb,dukung
sanggup,httpstcogomkhatmi,suku
sayang,sdf,dayak
tahu,gk,oalah
china,sih,bujug
komunis,wajah,aku
paham,bilang,islam
klo,artis,nggak
hongkong,blaster,salah
macau,agama,suka
taipe,km,httpstcoqicddkzcny
taiwan,orang,tolong
httpstcouegjxoxwyi,kristen,usut
china,bkn,mohon
ibaru,orang,turun
komunis,propokatif,tangan
pas,banget,minyikapi
hasil,sih,arogansi
ngalahkan,orang,pikir
kubu,gua,httpstcojpcrfmpqop
demokrat,jenggot,tindak
singkir,aja,kader
taiwan,ama,ras
belu,non,menciderai
httpstcochzhutvi,kafir,kebhenekaan
dasar,kerja,negara
otak,be,yea
dodol,httpstcoyaosxxpnw,kira
pindah,tausyiah,wibu
tempt,laksana,ras
ibukota,bawa,kuat
isi,ustadzdosen,udah
orang,raja,ngalahin
drunndrun,ritonga,terus
httpstcokwsoswhx,sekolah,jahat
aneh,agama,manusia
orang,islam,pesta
kutaidayak,n,malu
senang,httpstcotjebxsxb,tiongkok
ibukota,jaring,malu
negara,yahudi,wakil
nama,zionis,httpstcoowxcyry
nusantara,bungkus,udah
ribut,alir,bilang
ttg,islam,makan
nama,nusantara,kenyang
tsb,anus,sih
kalo,utk,makan
ribut,agama,males
orang,mu,banget
httpstcozjwuvhob,agama,capek
ya,ku,mala
ampun,owh,httpstcogqadpyzy
nih,jalan,orang
cowo,so,mang
gadir,non,laki
banget,muslim,dewasa
anjer,tu,suka
wkwk,hidup,rantau
kaya,httpstcooqajgjqx,dn
mantan,salah,perempuan
tmn,satu,udah
gua,powerful,nikah
nih,potensi,bawa
jelek,satu,suami
nyakitin,posisi,rantau
mulut,rentan,httpstcoclshjizr
koto,konflik,jelek
httpstcoqszzimzf,agama,dah
dipost,diaj,hewan
jelek,httpstcotncnkjbon,rizieq
doang,tuju,shihab
ya,tu,an
kalo,lingkung,jual
goodlooking,perkara,minyak
g,dialog,wangi
dipublish,agama,peci
kwwkwk,dakwah,khas
bela,umpama,arab
posisi,penggosippengintip,tinggal
suku,senarai,ortunya
tengger,salah,httpstcosxftdyhpj
laku,orang,rezim
tendang,list,kriminal
sesajen,beli,konstitusional
hukum,barang,apa
posisi,bulan,mau
bela,kat,tinggal
po,dosa,rubah
httpstcokyanoplwv,ceroboh,atur
wajar,ru,dukung
kulit,httpstcozqwwau,hasil
hitam,la,stu
tangan,yahudi,httpstcoutqmcviii
kasar,senang,sinyal
masszehh,nak,jelek
kerja,detect,banget
afiska,susah,pliss
mah,nya,edom
cantikkk,fikiran,jelek
bodynya,hk,kmrn
aduhaaiiii,satu,isi
oke,sisi,trs
kalo,turun,kosong
kerja,rasulullah,wat
mah,satu,de
